Project,Class,Pattern Predicted
cxf,StringVisitor,Visitor
frostwire-desktop,Decorator,Decorator
pcgen-svn,ShowMessageGuiObserver,Observer
platform,Axis2ConfigurationContextObserverImpl,Observer
Get-Another-Label,WorkerDecorator,Decorator
emergency-service-drools-app,MessageServerSingleton,Singleton
jbehave-core,ParentAnnotatedEmbedderUsingPico,
social_1,PlacePrototype,Prototype
pcgen-svn,DomainFacadeImpl,Facade
3taps-Java-Client,Source,
coala,CDABuilder,Builder
vogella,MyEnumSingleton,Singleton
ChenSun,CompressedInputStream,
cdk,AptBuilder,Builder
AllBinary-Platform,HighScoreNamePersistanceSingleton,Singleton
emf.compare,DiffBuilder,Builder
cdo,CDOCommonEventAdapter,Adapter
Akka-JavaEE6-Integracia,SumSingleton,Singleton
LoL-Chat,IXmppFacade,Facade
ChenSun,DocsConnectionPropsHelper,
BeeQueue,ProxyFactory,FactoryMethod
spring-migration-analyzer,StubResultGatheringClassVisitorFactory,AbstractFactory
maven-3,DefaultToolchainsBuilder,Builder
rap,ConfigurationElementMemento,Memento
iPage,IndexFactory,FactoryMethod
spring-migration-analyzer,StubResultGatheringAnnotationVisitor,Visitor
swing-mvc-demo,MainModelObserver,Observer
Promasi-V2,OutputSdObjectMemento,Memento
sablecc,MParamRefPrototype,Prototype
AllBinary-Platform,AllMotionRectanglesResultsCacheSingleton,Singleton
jbehave-core,PatternVariantBuilder,Builder
osate2-core,ThreadPrototypeImpl,Prototype
pellet,DefaultAtomObjectVisitor,Visitor
santuario-java,EncryptionElementProxy,Proxy
java-design-patterns,WizardTowerProxy,Proxy
activemq,DestinationFacade,Facade
pcgen-svn,ShowMessageConsoleObserver,Observer
3taps-Java-Client,SummaryRequest,
pcgen-svn,SpellFacadeImplem,Facade
gansenbang,PrototypeWrapper,Prototype
cdt,CodanBuilder,Builder
platform,Observers,Observer
pcgen-svn,FacadeFactory,FactoryMethod
pcgen-svn,KitFacade,Facade
gson,ProtoTypeAdapter,Adapter
Generic-Graph-View,GraphViewStyleFactory,AbstractFactory
platform_frameworks_base,Singleton,Singleton
platform,DSAxis2ConfigurationContextObserver,Observer
ASEME,AIPFactoryImpl,AbstractFactory
rap,XMLMemento,Memento
LoL-Chat,XmppFacade,Facade
maven-3,ArtifactRepositoryFactory,FactoryMethod
molgenis_apps,NameableDecorator,Decorator
LimeWire-Pirate-Edition,InNetworkDownloadMementoImpl,Memento
soapui,RestRequestPanelBuilder,Builder
hivedb,DirectoryFacade,Facade
dozer,JAXBBeanFactory,FactoryMethod
birt,MementoBuilder,Builder
cdo,EmbeddedDerbyAdapter,Adapter
Promasi-V2,StockSdObjectMemento,Memento
fafdtibb,LimitModeTreeBuilderFactory,AbstractFactory
frostwire-desktop,ProxyController,Proxy
pcgen-svn,CharacterLevelFacadeImpl,Facade
cdk,RendererClassVisitor,Visitor
flume_1,ChokeDecorator,Decorator
ju4pa,ConcurrentModificationObserver,Observer
platform_frameworks_base,AnimatorListenerAdapter,Adapter
small-team-km-android-client,ActivitiesStackSingleton,Singleton
jbehave-core,AuthenticationPolicyBuilder,Builder
cucumber-jvm,ResourceIteratorFactory,FactoryMethod
com.idega.core,Singleton,Singleton
TapIt-Android-SDK-Source,AlertAdProxy,Proxy
Alitheia-Core,ProxyServlet,Proxy
ASEME,SUCFactoryImpl,AbstractFactory
jbehave-core,DbUnitSteps,
ChenSun,FailoverConnectionProxy,Proxy
ocl,ConstraintsFactory,AbstractFactory
ChenSun,JDBC4SuspendableXAConnection,
cdt,ExcludedFileDecorator,Decorator
playorm,IterableProxy,Proxy
javassist,Proxy,Proxy
cdt,CDataProxy,Proxy
ant,DefaultRmicAdapter,Adapter
jbehave-core,InheritingAnnotatedEmbedderUsingSteps,
kodejava,Singleton,Singleton
ecf,SmartProxy,Proxy
cdt,IndexerASTVisitor,Visitor
wonder,ERPrototypes,Prototype
sslr,EmptyAlternativeVisitor,Visitor
m2eclipse-extras,P2FacadeImpl,Facade
LimeWire-Pirate-Edition,VirusDefinitionDownloadMemento,Memento
molgenis_apps,NameableDecorator,Decorator
jbehave-core,AnnotatedEmbedderUsingPico,
LimeWire-Pirate-Edition,BTMetaInfoMementoImpl,Memento
tapestry-bootstrap,BootStrapValidationDecorator,Decorator
SamyGo-Android-Remote,SenderFactory,FactoryMethod
DimSim,RTMPMinaCodecFactory,AbstractFactory
platform,AbstractPDPProxy,Proxy
see,NumberFactory,AbstractFactory
biojava-legacy,SearchBuilder,Builder
cayenne,ViewFactory,FactoryMethod
jbehave-core,AnnotatedEmbedderUsingSpringNamespace,
cdt,CStructureCreatorVisitor,Visitor
jbehave-core,GameFrame,
biomixer,NcboJsonpRestUrlBuilderFactory,FactoryMethod
BuildCraft,FactoryProxy,Proxy
cxf,ModuleVisitor,Visitor
infinitest,EclipseFacade,Facade
kodejava,SingletonDemo,Singleton
swp1-teamhub,AbstractFacade,Facade
molgenis_apps,IdentifiableDecorator,Decorator
osate2-core,ThreadGroupPrototypeImpl,Prototype
TapIt-Android-SDK-Source,BannerViewProxyPrototype,Prototype
3taps-Java-Client,Posting,
jbehave-core,ThreadsSteps,
ant,ExtensionAdapter,Adapter
3taps-Java-Client,Utils,
platform,TransactionManagerAxis2ConfigurationContextObserver,Observer
AllBinary-Platform,SmallIntegerSingletonFactory,AbstractFactory
cdk,PropertyAdapter,Adapter
AllBinary-Platform,GameConfigurationSingleton,Singleton
jamendo-android,LicenseBuilder,Builder
jbehave-core,PrintStreamFactory,FactoryMethod
cdt,ProjectIndexerInputAdapter,Adapter
ChenSun,ConnectionPropertiesTransform,
AllBinary-Platform,AdminUserEmailEventHandlerSingletons,Singleton
TwelveMonkeys,Visitor,Visitor
modapi,Prototype,Prototype
osate2-core,ComponentPrototypeActual,Prototype
cxf,TypedefVisitor,Visitor
m2eclipse-extras,P2Facade,Facade
jbehave-core,Embedder,
molgenis_apps,MeasurementDecorator,Decorator
movsim,VehiclePrototype,Prototype
cdt,CNavigatorProblemsLabelDecorator,Decorator
pcgen-svn,GeneralChooserFacadeBase,Facade
milton,ResourceFactory,FactoryMethod
swing-mvc-demo,MainModelObserver,Observer
MPS,MementoPersistence,Memento
wayback,QueryCaptureFilterGroupFactory,FactoryMethod
pcgen-svn,ListDataAdapter,Adapter
jbehave-core,ParameterDelimiters,
fop,ElementListObserver,Observer
petals-studio,Cdk5Factory,AbstractFactory
orion.server,GitSshSessionFactory,FactoryMethod
TapIt-Android-SDK-Source,InterstitialAdProxyPrototype,Prototype
james,RMISocketFactory,AbstractFactory
vogella,MyObserver,Observer
refactoring_guru,Memento,Memento
SWE12-Drone,PrototypeBrickAdapter,Adapter
sslr,RuleMatchersVisitor,Visitor
fuzzydb,Decorator,Decorator
harmony-classlib,PropertyChangeListenerProxy,Proxy
ant,ResourceFactory,FactoryMethod
cdk,BehaviorAdapter,Adapter
pcgen-svn,FacadeFactory,FactoryMethod
refactoring_guru,Builder,Builder
pcgen-svn,EqBuilder,Builder
platform,JAXWSAxis2ConfigurationObserver,Observer
pellet,NumberToLiteralVisitor,Visitor
console_1,CoreUISingleton,Singleton
platform,SecurityAxis2ConfigurationContextObserver,Observer
Android-Simple-Social-Sharing,TwitterEventObserver,Observer
spring-migration-analyzer,DelegatingAnnotationVisitor,Visitor
ant,Native2AsciiAdapter,Adapter
molgenis_apps,DataDecorator,Decorator
basiclti-portlet,ChemvantageAdapter,Adapter
cdt,CDTViewerDragAdapter,Adapter
maven-3,ToolchainFactory,FactoryMethod
cdt,FunctionPrototypeSummary,Prototype
AllBinary-Platform,NoGameNotificationHudSingleton,Singleton
protogrid,BaseDataPrototype,Prototype
cucumber-jvm,FileResourceIteratorFactory,FactoryMethod
jbehave-core,InstanceStepsFactory,AbstractFactory
api,TCCLSingletonProvider,Singleton
jbehave-core,TradingService,
wayback,ReplayRendererDecorator,Decorator
ChenSun,DatabaseMetaData,
flume_1,LatchedDecorator,Decorator
osate2-core,FeatureGroupPrototypeImpl,Prototype
playorm,ListProxy,Proxy
3taps-Java-Client,Annotation,
zk,DefaultIDOMFactory,AbstractFactory
molgenis_apps,DBIndexUpdateDecorator,Decorator
wayback,MementoReplayRendererDecorator,Decorator
DimSim,SimpleProtocolCodecFactory,AbstractFactory
DimSim,RemotingCodecFactory,AbstractFactory
android-rackspacecloud,ConnectionPoolCommandExecutorServiceModule,
helma,Prototype,Prototype
jbehave-core,NamedParametersSteps,
liferay-portal,LayoutPrototypeWrapper,Prototype
cruisecontrol,Builder,Builder
3taps-Java-Client,DeleteResponse,
fuzzydb,DateDecorator,Decorator
magic-config,DoubleTagDecorator,Decorator
cdo,PostgreSQLAdapter,Adapter
hbase,ThriftServerMetricsSourceFactoryImpl,FactoryMethod
maven-3,DefaultModelBuilder,Builder
de-webapp,DiskResourceServiceFacade,Facade
frostwire-desktop,ElementalReverseProxy,Proxy
Alice,CallToUserDefinedResponsePrototype,Prototype
ChenSun,ConnectionPropertiesImpl,
cdk,ModelBuilder,Builder
cdo,CDODefsAdapterFactory,AbstractFactory
vogella,TotalObserver,Observer
spring-migration-analyzer,EjbDetectingClassVisitor,Visitor
ChenSun,MysqlXADataSource,
harmony-classlib,DragSourceEventProxy,Proxy
cdt,CElementDeltaBuilder,Builder
flume_1,UnbatchingDecorator,Decorator
frostwire-desktop,MRJ4EventProxy,Proxy
jbehave-core,AnnotatedEmbedderUsingSpringAndSteps,
openejb,SingleonContainerBuilder,Builder
dozer,DozerBuilder,Builder
DownloadProvider,DateSortedExpandableListAdapter,Adapter
cruisecontrol,NantBuilder,Builder
sablecc,MParamPrototype,Prototype
basiclti-portlet,WikispacesAdapter,Adapter
pellet,OntBuilder,Builder
AllBinary-Platform,GamePersistanceSingleton,Singleton
jbehave-core,BeforeAfterSteps,
cxf,ClientMessageObserver,Observer
ocl,XsdFactoryImpl,AbstractFactory
3taps-Java-Client,AnnotationOption,
cdt,BasicSelectionTransferDragAdapter,Adapter
cxf,PrimitiveTypesVisitor,Visitor
UK-Ejemplos,EventObserver,Observer
arquillian-extension-persistence,EventObserver,Observer
rap,IMemento,Memento
computercraft-spout,Prototype,Prototype
santuario-java,SignatureAlgorithmFactory,FactoryMethod
jabylon,UsersFactory,AbstractFactory
rap,MementoStateManager,Memento
sample-projects,Visitor,Visitor
swp1-teamhub,ProjektFacade,Facade
birt,MementoBuilder,Builder
eclipse.platform.debug,IElementMementoRequest,Memento
fuzzydb,AgeDecorator,Decorator
ocl,UnresolvedFactory,AbstractFactory
platform,PaypalSOAPProxy,Proxy
LimeWire-Pirate-Edition,GnutellaDownloadMemento,Memento
jamendo-android,TrackDatabaseBuilder,Builder
eclipse.platform.debug,ElementMementoProvider,Memento
jogetworkflow,FormFacade,Facade
pellet,FSMBuilder,Builder
santuario-java,ElementProxy,Proxy
wayback,ReplayParseEventDelegatorVisitor,Visitor
pellet,FunctionApplicationVisitor,Visitor
pellet,NumericComparisonVisitor,Visitor
platform,AbstractProxy,Proxy
jabylon,Memento,Memento
AllBinary-Platform,UserEmailEventHandlerSingletons,Singleton
refactoring_guru,CarBuilder,Builder
pcgen-svn,TemplateFacade,Facade
ChenSun,Field,
ChenSun,DatabaseMetaDataUsingInfoSchema,
cogroo4,CogrooSingleton,Singleton
petals-studio,JmsFactoryImpl,AbstractFactory
harmony-classlib,MockBeanContextProxyS,Proxy
pcgen-svn,TempBonusFacade,Facade
cdo,ObjyProxy,Proxy
DownloadProvider,DateSortedDownloadAdapter,Adapter
molgenis_apps,MolgenisFileDecorator,Decorator
java-patterns,OracleRegistrationDAOFactory,AbstractFactory
Emma,IOpcodeVisitor,Visitor
flume_1,ValueDecorator,Decorator
studio3,XMLMemento,Memento
LimeWire-Pirate-Edition,BTDiskManagerMementoImpl,Memento
geotoolkit-pending,GeometryProxy,Proxy
cdt,DelegatingDropAdapter,Adapter
ccw,BreakpointAdapterFactory,AbstractFactory
java-design-patterns,AbstractFactory,AbstractFactory
wayback,ArchivalUrlResultURIConverterFactory,FactoryMethod
biojava-legacy,SimpleAssemblyBuilder,Builder
spring-migration-analyzer,StubResultGatheringFieldVisitor,Visitor
fest-reflect,DecoratorInvocationHandler,Decorator
OneSwarm,ResourcePrototype,Prototype
smsc-server,MessageManagerFactory,FactoryMethod
pellet,RuleAtomVisitor,Visitor
cdk,Visitor,Visitor
Alice,QuestionPrototype,Prototype
petals-studio,JbiFactory,AbstractFactory
basiclti-portlet,IBasicLTIAdapter,Adapter
platform,MediationStatisticsObserver,Observer
cayenne,SingletonFaultFactory,FactoryMethod
platform,ActivityMediationStatisticsObserver,Observer
api,ResourceReferenceFactory,FactoryMethod
cdo,VersionBuilder,Builder
pcgen-svn,ReferenceFacade,Facade
jbehave-core,SearchSteps,
platform,CSGServiceObserver,Observer
accent,ChannelListenerAdapter,Adapter
jbehave-core,SkipBeforeAndAfterScenarioStepsIfGivenStory,
spring-migration-analyzer,StubResultGatheringMethodVisitor,Visitor
osate2-core,PrototypeImpl,Prototype
petals-studio,Filetransfer3Factory,AbstractFactory
TapIt-Android-SDK-Source,InterstitialAdProxyPrototype,Prototype
cfeclipse,URLDecorator,Decorator
pcgen-svn,SpellSupportFacade,Facade
javassist,Proxy,Proxy
tapestry-bootstrap,SessionBindingFactory,FactoryMethod
dawn-third,AnnotationMemento,Memento
BuildCraft,FactoryProxyClient,Proxy
jamendo-android,PlaylistBuilder,Builder
jamendo-android,AlbumDatabaseBuilder,Builder
HunApkNotifier,HunApkListAdapter,Adapter
LimeWire-Pirate-Edition,BTDownloadMementoImpl,Memento
jbehave-core,FailingBeforeStories,
cruisecontrol,CompositeBuilder,Builder
petals-studio,JmsFactory,AbstractFactory
pcgen-svn,SkillFacade,Facade
osate2-core,SubprogramPrototypeImpl,Prototype
soapui,InspectorFactory,FactoryMethod
activemq,DurableSubscriberFacade,Facade
soapui,EditorViewFactory,FactoryMethod
ocl,OCLinEcoreCSTFactoryImpl,AbstractFactory
liferay-portal,LayoutSetPrototypeWrapper,Prototype
pcgen-svn,CharacterLevelsFacadeImpl,Facade
JavaDesignPatternExercises,Memento,Memento
platform,SynapseObserver,Observer
cxf,FixedVisitor,Visitor
osate2-core,ProcessorPrototypeImpl,Prototype
osate2-core,Prototype,Prototype
ocl,AbapmappingFactoryImpl,AbstractFactory
magic-config,TripleTagDecorator,Decorator
molgenis_apps,EditableTableDecorator,Decorator
SWE12-Drone,PrototypeBrickAdapter,Adapter
pcgen-svn,LanguageFacade,Facade
de-webapp,AnalysisContextBuilder,Builder
tapestry-bootstrap,EnvironmentBindingFactory,FactoryMethod
de-webapp,AnalysisServiceFacade,Facade
openejb,BasicSingletonBean,Singleton
jbehave-core,StackTraceFormatter,
java-design-patterns,FishingBoatAdapter,Adapter
archaius,ExpandedConfigurationListenerAdapter,Adapter
playorm,CursorProxy,Proxy
3taps-Java-Client,SummaryResponse,
LimeWire-Pirate-Edition,TorrentFileSystemMementoImpl,Memento
cxf,MTOMAssertionBuilder,Builder
api,MockResourceFactory,FactoryMethod
Promasi-V2,TaskBridgeMemento,Memento
3taps-Java-Client,SearchResponse,
activemq,DataManagerFacade,Facade
computercraft-spout,Prototype,Prototype
DimSim,PopoutPanelProxy,Proxy
platform,HiveAxis2ConfigObserver,Observer
OpenSIG,Visitor,Visitor
alfresco,TransactionAwareSingleton,Singleton
Get-Another-Label,DawidSkeneDecorator,Decorator
osate2-core,FeatureGroupPrototype,Prototype
petals-studio,Filetransfer2xFactory,AbstractFactory
Generic-Graph-View,ColorMemento,Memento
spring-social-twitter,PlacePrototype,Prototype
teiid-designer,VdbModelBuilder,Builder
onebusaway-application-modules,ResourcePrototypeImpl,Prototype
cdt,CDTViewerDropAdapter,Adapter
activemq,JobSchedulerFacade,Facade
activemq,JournalFacade,Facade
biomixer,HighlightingResourceSetAvatarFactory,FactoryMethod
3taps-Java-Client,CreateResponse,
java-patterns,RegistrationDAOAbstractFactory,AbstractFactory
ocl,XsdFactory,AbstractFactory
see,BigDecimalFactory,AbstractFactory
harmony-classlib,BeanContextChildComponentProxy,Proxy
jbehave-core,WeldAnnotationBuilder,Builder
cdt,ICElementVisitor,Visitor
wayback,ARCRecordingProxy,Proxy
hypergraphdb,CacheActionQueueSingleton,Singleton
jbehave-core,TraderSteps,
Promasi-V2,ProjectTaskMemento,Memento
platform,PersistingStatisticsObserver,Observer
jbehave-core,ProvidedStepsFactory,AbstractFactory
Cours-3eme-ann-e,AbstractFacade,Facade
swp1-teamhub,KommentarFacade,Facade
ChenSun,MysqlValidConnectionChecker,
eclipse.platform.debug,BreakpointMementoProvider,Memento
AxonFramework,SpringPrototypeAggregateFactory,AbstractFactory
jbehave-core,GameObserver,Observer
cdt,MultiBuildConsoleAdapter,Adapter
hazelcast-cluster-monitor,MapPageBuilder,Builder
milton,HrResourceFactoryFactory,AbstractFactory
jbehave-core,InheritingAnnotatedEmbedderUsingSteps,
ChenSun,CachedResultSetMetaData,
cxf,ExceptionVisitor,Visitor
cdt,CodeReaderAdapter,Adapter
ocl,UnresolvedFactoryImpl,AbstractFactory
hivedb,DirectoryFacadeProvider,FactoryMethod
platform,SalesforceProxy,Proxy
Java-Design-Patterns,FactoryMethod,FactoryMethod
refactoring_guru,XMLExportVisitor,Visitor
cdt,PathEntryStoreProxy,Proxy
ant,JspCompilerAdapter,Adapter
cdt,CEditorTextHoverProxy,Proxy
jbehave-core,SandpitSteps,
OneSwarm,ImageResourcePrototype,Prototype
spring-migration-analyzer,DelegatingFieldVisitor,Visitor
3taps-Java-Client,PostingHistory,
android-rackspacecloud,ApacheHCHttpCommandExecutorServiceModule,
jbehave-core,ParametrisedSteps,
MPS,MappingsMemento,Memento
Emma,IAttributeVisitor,Visitor
pcgen-svn,DelegatingListFacade,Facade
wayback,ReplayParseEventDelegatorVisitor,Visitor
pcgen-svn,LoadableFacade,Facade
iBatisWorkShop,NoXmlSingletonConnectionManager,Singleton
frostwire-desktop,HeaderMouseObserver,Observer
pcgen-svn,InfoFactory,FactoryMethod
jbehave-core,AnnotatedEmbedderUsingSpring,
ChenSun,SocialNetworkDBAThread,
pcgen-svn,SpellSupportFacadeImpl,Facade
cxf,SequenceVisitor,Visitor
eclipse.platform.debug,RegisterGroupMementoProvider,Memento
cdt,BreakpointVMModelProxyStrategy,Proxy
cdt,ExpressionVMProviderModelProxyStrategy,Proxy
javassist,ScopedClassPoolFactory,FactoryMethod
sshj,SingletonRandomFactory,Singleton
cdt,PDOMProxy,Proxy
Alice,CallToUserDefinedQuestionPrototype,Prototype
pcgen-svn,UIDelegate,
AllBinary-Platform,CurrentlyPressedTouchButtonSingleton,Singleton
soapui,EmptyPanelBuilder,Builder
sslr,AstAndTokenVisitor,Visitor
java-design-patterns,CommanderVisitor,Visitor
biojava-legacy,ExceptionMemento,Memento
Promasi-V2,DepartmentMemento,Memento
pcgen-svn,CDOMFactory,FactoryMethod
Promasi-V2,EmployeeTaskMemento,Memento
osate2-core,FeatureGroupPrototypeActualImpl,Prototype
Emma,ICONSTANTVisitor,Visitor
robo-remote,EmSingleton,Singleton
biomixer,DisableIfEmptyResourceSetAvatarFactory,FactoryMethod
java-game-server,UDPChannelPipelineFactory,AbstractFactory
AllBinary-Platform,ImageComparisonResultCacheSingleton,Singleton
TapIt-Android-SDK-Source,BannerViewProxyPrototype,Prototype
pcgen-svn,LevelCommandFactory,FactoryMethod
ASEME,SUCFactory,AbstractFactory
platform,TargetServiceObserver,Observer
Mobile-Tour-Guide,BookmarkAdapter,Adapter
biomixer,HideIfEmptyResourceSetAvatarFactory,FactoryMethod
see,DoubleFactory,FactoryMethod
AllBinary-Platform,UploadMediaSingleton,Singleton
BMach,ISubject,Observer
pcgen-svn,LanguageChooserFacadeImpl,Facade
wolips,EOPrototypeListContentProvider,
cdo,DawngenmodelItemProviderAdapterFactory,AbstractFactory
cxf,DefinitionVisitor,Visitor
ASEME,AIPFactory,AbstractFactory
OneSwarm,ExternalTextResourcePrototype,Prototype
jbehave-core,GroovyAnnotationBuilderBehaviour,Builder
teiid-designer,CustomDiagramActionAdapter,Adapter
liferay-portal,LayoutPrototypeBaseImpl,Prototype
Android-Simple-Social-Sharing,FacebookEventObserver,Observer
eclipse.platform.ui,ConfigurationElementMemento,Memento
cdt,IndexerInputAdapter,Adapter
cdt,WorkbenchRunnableAdapter,Adapter
cucumber-jvm,SingletonFactory,FactoryMethod
pellet,PelletVisitor,Visitor
swp1-teamhub,TeamleiterFacade,Facade
platform_frameworks_base,SyncStatusObserver,Observer
cruisecontrol,Maven2Builder,Builder
liferay-portal,LayoutPrototypeLocalService,
hazelcast-cluster-monitor,QueuePageBuilder,Builder
jbehave-core,TraderPersister,
frostwire-desktop,Decorator,Decorator
Emma,AbstractClassDefVisitor,Visitor
sitemesh2,AbstractDecoratorMapper,Decorator
osate2-core,DataPrototypeImpl,Prototype
studio2,XMLMemento,Memento
osate2-core,BusPrototypeImpl,Prototype
spring-migration-analyzer,StubResultGatheringClassVisitor,Visitor
magic-config,SingleTagDecorator,Decorator
santuario-java,SecurityTokenFactory,FactoryMethod
mongkie,EnrichmentBuilder,Builder
frostwire-desktop,TreeMouseObserver,Observer
harmony-classlib,ActionProxy,Proxy
ChenSun,EscapeProcessor,
refactoring_guru,WindowsDialog,
cxf,TypesVisitor,Visitor
java-patterns,RegistrationDAOAbstractFactory,AbstractFactory
ant,TaskAdapter,Adapter
cdt,ProblemsLabelDecorator,Decorator
WhartonEventScheduler,PeopleCursorAdapter,Adapter
molgenis_apps,AuthorizableDecorator,Decorator
s4,PrototypeWrapper,Prototype
pcgen-svn,ModifyChoiceDecorator,Decorator
sslr,EmptyVisitor,Visitor
osate2-core,ComponentPrototypeBinding,Prototype
jbehave-core,SkipScenariosAfterFailure,
BuildCraft,CoreProxyClient,Proxy
platform,AbstractSynapseObserver,Observer
ocl,ExpressionsFactory,AbstractFactory
biomixer,UpdateResourceSetAvatarLabelFactory,FactoryMethod
intellij-community,SingletonInspection,Singleton
ocl,AbapdictionaryFactoryImpl,AbstractFactory
Mavenized-Wave-In-A-Box,ViewFactory,AbstractFactory
orion.server,GitFileDecorator,Decorator
playorm,FactorySingleton,Singleton
java-patterns,RegistrationDAOFactory,FactoryMethod
playorm,IterProxy,Proxy
platform,JMXObserver,Observer
protoj,Prototype,Prototype
bio_quiz,QuestionFacade,Facade
fafdtibb,FuriousNodeBuilderFactory,AbstractFactory
platform,ThrottlingAxis2ConfigurationContextObserver,Observer
eclipse.platform.debug,ExpressionMementoProvider,Memento
dozer,SampleDefaultBeanFactory,FactoryMethod
ASEME,SRMFactory,AbstractFactory
cfeclipse,URLDecoratorManager,
AllBinary-Platform,RemoteErrorHighScoresSingletonFactory,AbstractFactory
cxf,ColocMessageObserver,Observer
jbehave-core,SpringApplicationContextFactory,FactoryMethod
dawn-third,TraceMemento,Memento
dozer,UserBeanFactory,FactoryMethod
Promasi-V2,GameModelMemento,Memento
jge3d,Observer,Observer
biomixer,ResourceSetAvatarDropCommandFactory,FactoryMethod
jbehave-core,AnnotatedEmbedderUsingGuice,
cdt,ChangeGeneratorWriterVisitor,Visitor
ocl,AbapdictionaryFactory,AbstractFactory
platform,DiscoveryProxyObserver,Observer
faban,RunFacade,Facade
cdo,CDOItemProviderAdapter,Adapter
geotoolkit-pending,RandomStyleBuilder,Builder
bio_quiz,QuizFacade,Facade
cdt,CPPASTAllVisitor,Visitor
openejb,ThreadSingletonService,Singleton
TapIt-Android-SDK-Source,AlertAdProxyPrototype,Prototype
cdo,ContainerEventAdapter,Adapter
basiclti-portlet,NoteflightAdapter,Adapter
cdt,IModelVisitor,Visitor
harmony-classlib,VetoableChangeListenerProxy,Proxy
jbehave-core,SilentSuccessFilter,
ccw,LeiningenBuilder,Builder
Emma,InstrVisitor,Visitor
Promasi-V2,FlowSdObjectMemento,Memento
dawn-third,XYGraphMemento,Memento
jbehave-core,AnnotationBuilder,Builder
harmony-classlib,AWTEventListenerProxy,Proxy
console_1,AggregatedConsoleSingleton,Singleton
frostwire-desktop,NetworkAdminHTTPProxyImpl,Proxy
studio2,IMemento,Memento
Lord-of-Ultima-Manager,TradeRequestAdapter,Adapter
pcgen-svn,TodoFacadeImpl,Facade
spring-migration-analyzer,ApiUsageDetectingAsmVisitor,Visitor
emergency-service-drools-app,ProcedureServiceFactory,FactoryMethod
cfeclipse,URLDecoratorImageDescriptor,Decorator
de-webapp,TemplateServiceFacade,Facade
softwaremill-common,TransactionExceptionObserver,Observer
biomixer,NcboJsonpRestUrlBuilderFactory,FactoryMethod
UK-Ejemplos,ObserverBuilder,Builder
santuario-java,SignatureElementProxy,Proxy
molgenis_apps,MeasurementDecorator,Decorator
java-patterns,RegistrationDAOFactory,AbstractFactory
cdt,IncludeFolderDecorator,Decorator
ChenSun,CharsetMapping,
lyo.rio,ServiceProviderSingleton,Singleton
smsc-server,MessageObserver,Observer
smsc-server,PropertiesUserManagerFactory,FactoryMethod
jpatterns,AbstractFactoryPattern,AbstractFactory
cxf,ConstrTypeSpecVisitor,Visitor
api,IsolatedStaticSingletonProvider,Singleton
api,Singleton,Singleton
cdt,CElementDecorator,Decorator
jabylon,BasicMementoImpl,Memento
java-patterns,MySQLRegistrationDAOFactory,AbstractFactory
flume_1,GzipDecorator,Decorator
cruisecontrol,XcodeBuilder,Builder
see,LocalizedBigDecimalFactory,AbstractFactory
jbehave-core,SpringStepsFactory,AbstractFactory
jbehave-core,ParametrisationByDelimitedName,
jbehave-core,Stock,
jbehave-core,AnnotatedEmbedderUsingGuiceAndSteps,
biojava-legacy,URLFactory,FactoryMethod
api,Singleton,Singleton
ChenSun,BestResponseTimeBalanceStrategy,
molgenis_apps,DataDecorator,Decorator
jbehave-core,PicoAnnotationBuilder,Builder
ocl,QuantitystructureFactory,AbstractFactory
ccw,ClojureBuilder,Builder
ChenSun,CallableStatement,
cdo,IOVisitor,Visitor
teiid-designer,CoreMatcherFactory,FactoryMethod
ChenSun,MysqlDataSource,
bio_quiz,AbstractFacade,Facade
jpatterns,FactoryMethodPattern,FactoryMethod
OpenSIG,ExportacaoProxy,Proxy
cdt,LocationAdapter,Adapter
openejb,SingletonCalculatorClient,Singleton
flume_1,EventSinkDecorator,Decorator
JavaDesignPatternExercises,IObserver,Observer
playorm,NoSqlProxyImpl,Proxy
java-design-patterns,StarMemento,Memento
HunApkNotifier,HunApkListAdapter,Adapter
lyo.rio,ServiceProviderSingleton,Singleton
AllBinary-Platform,KeySingletonFactory,AbstractFactory
jbehave-core,FailingBeforeAfterSteps,
cdt,TextViewerDragAdapter,Adapter
refactoring_guru,GUIFactory,AbstractFactory
ecf,Proxy,Proxy
jamendo-android,RadioDatabaseBuilder,Builder
cxf,ConstVisitor,Visitor
intellij-community,JavaCodeStyleSettingsFacade,Facade
robo-remote,SoloSingleton,Singleton
Dual-Battery-Widget,ChartFactory,FactoryMethod
cdk,EventAdapter,Adapter
fafdtibb,MapperTreeBuilder,Builder
jbehave-core,CalendarSteps,
cdo,HSQLDBAdapter,Adapter
ASEME,StatechartFactory,AbstractFactory
cdo,EresourceItemProviderAdapterFactory,Adapter
pizzaapp,ConfigurationSingleton,Singleton
jamendo-android,ArtistBuilder,Builder
flume_1,BatchingDecorator,Decorator
flume_1,ReorderDecorator,Decorator
jbehave-core,FilePrintStreamFactory,FactoryMethod
prevayler,Memento,Memento
jbehave-core,User,
pellet,DefaultRuleAtomVisitor,Visitor
wayback,MementoReplayRendererDecorator,Decorator
java-game-server,TCPPipelineFactory,FactoryMethod
hbase,ThriftServerMetricsSourceFactory,FactoryMethod
Alice,ElementPrototype,Prototype
Get-Another-Label,DatumDecorator,Decorator
cxf,ChainInitiationObserver,Observer
AllBinary-Platform,ProcessPaintableSingletonFactory,Singleton
magic-config,DecoratorFactoryImpl,FactoryMethod
